generation,minReplicas,maxReplicas,cpuThreshold,memoryThreshold,cooldownSeconds,cpuRequest,memoryRequest,slaViolation,avgCpu,avgMemory,avgReplicas,cpuEfficiencyLoss,memoryEfficiencyLoss,errorRate
1,2,6,0.6,0.3,10,100,576,0.9608938547486033,0.24906509440680158,1.4967657625675201E-5,4.5,1.80675658735627,1.731733892385231E8,0.0
1,4,5,0.8,0.8,10,250,640,0.7118226600985222,1.3633907360873558,2.2078305482864378E-5,4.2,0.7701387226770213,1.2174847395268789E8,0.0
1,3,5,0.7,0.5,10,300,1024,0.689119170984456,1.2120049535371595,1.8768840365939668E-5,3.8,0.9405902151414335,2.0732234512801695E8,0.0
1,3,5,0.7,0.7,10,350,576,0.7065217391304348,,1.706845230526394E-5,2.8,1.7976931348623157E308,9.449011375815308E7,0.0
1,4,5,0.8,0.6,10,450,768,0.5773480662983426,1.699244769412706,2.132604519526164E-5,3.8,1.0063294180926101,1.3684675115705135E8,0.0
1,1,4,0.4,0.8,10,200,640,0.6629213483146068,1.8181911855018595,2.0647197961807253E-5,1.8,0.19799897990410303,5.5794495801849E7,0.6454183266932271
1,2,5,0.4,0.4,10,350,256,0.5882352941176471,1.2323938489323596,1.9497238099575043E-5,4.0,1.136000476806047,5.252025926802006E7,0.0
1,2,4,0.3,0.7,15,400,256,0.6349206349206349,1.7453395064209218,2.2194813936948776E-5,4.4,1.0083997947248338,5.075059440461574E7,0.0
1,2,6,0.4,0.4,10,250,768,0.6932367149758454,0.5928902175427764,1.616310328245163E-5,4.0,1.6866528919038053,1.9006251128366464E8,0.0
1,2,4,0.6,0.4,10,350,576,0.6068840579710144,1.6543164963638186,2.1508894860744476E-5,4.4,0.9308980496687994,1.1783032166034207E8,0.0
2,2,6,0.4,0.4,10,250,768,0.6932367149758454,0.5928902175427764,1.616310328245163E-5,4.0,1.6866528919038053,1.9006251128366464E8,0.0
2,3,5,0.7,0.5,10,300,1024,0.689119170984456,1.2120049535371595,1.8768840365939668E-5,3.8,0.9405902151414335,2.0732234512801695E8,0.0
2,2,5,0.6,0.8,10,200,640,0.7326732673267327,1.5907858806984774,2.156570553779602E-5,3.0,0.37717206776851314,8.903024279150112E7,0.0
2,3,4,0.6,0.7,10,250,768,0.6756756756756757,0.36854880773912396,7.018446922302246E-6,3.0,2.0350086182638933,3.2827775510828024E8,0.0
2,2,4,0.3,0.7,15,400,256,0.6349206349206349,1.7453395064209218,2.2194813936948776E-5,4.4,1.0083997947248338,5.075059440461574E7,0.0
2,1,4,0.4,0.8,10,200,640,0.6629213483146068,1.8181911855018595,2.0647197961807253E-5,1.8,0.19799897990410303,5.5794495801849E7,0.6454183266932271
2,3,5,0.7,0.7,10,250,768,0.7816091954022988,0.721521569934366,1.3529260953267413E-5,2.6,0.9008739684097428,1.4759121040663782E8,0.0
2,2,4,0.6,0.4,10,350,576,0.6068840579710144,1.6543164963638186,2.1508894860744476E-5,4.4,0.9308980496687994,1.1783032166034207E8,0.0
2,4,5,0.8,0.6,10,450,768,0.5773480662983426,1.699244769412706,2.132604519526164E-5,3.8,1.0063294180926101,1.3684675115705135E8,0.0
2,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
3,4,5,0.8,0.6,10,450,768,0.5773480662983426,1.699244769412706,2.132604519526164E-5,3.8,1.0063294180926101,1.3684675115705135E8,0.0
3,2,4,0.3,0.7,15,400,256,0.6349206349206349,1.7453395064209218,2.2194813936948776E-5,4.4,1.0083997947248338,5.075059440461574E7,0.0
3,3,5,0.7,0.5,10,300,1024,0.689119170984456,1.2120049535371595,1.8768840365939668E-5,3.8,0.9405902151414335,2.0732234512801695E8,0.0
3,3,5,0.7,0.7,10,250,768,0.7816091954022988,0.721521569934366,1.3529260953267413E-5,2.6,0.9008739684097428,1.4759121040663782E8,0.0
3,3,4,0.6,0.7,10,250,768,0.6756756756756757,0.36854880773912396,7.018446922302246E-6,3.0,2.0350086182638933,3.2827775510828024E8,0.0
3,2,4,0.6,0.4,10,350,576,0.6068840579710144,1.6543164963638186,2.1508894860744476E-5,4.4,0.9308980496687994,1.1783032166034207E8,0.0
3,2,5,0.6,0.8,10,200,640,0.7326732673267327,1.5907858806984774,2.156570553779602E-5,3.0,0.37717206776851314,8.903024279150112E7,0.0
3,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
3,3,6,0.6,0.4,10,500,896,0.5922953451043338,0.44272557323097506,1.5102740791108874E-5,2.8,3.162229797982787,1.6611554384068844E8,0.0
3,2,6,0.5,0.6,20,200,1024,0.736842105263158,0.5615305340638179,2.216082066297531E-5,2.0,0.7123388235100676,9.241535009674302E7,0.04522613065326633
4,2,5,0.6,0.4,10,350,512,0.6943699731903485,0.995925248904635,2.224262182911237E-5,1.8,0.6325775962532363,4.14339643536878E7,0.0
4,2,4,0.6,0.4,10,350,576,0.6068840579710144,1.6543164963638186,2.1508894860744476E-5,4.4,0.9308980496687994,1.1783032166034207E8,0.0
4,4,5,0.8,0.6,10,450,768,0.5773480662983426,1.699244769412706,2.132604519526164E-5,3.8,1.0063294180926101,1.3684675115705135E8,0.0
4,2,5,0.6,0.8,10,200,640,0.7326732673267327,1.5907858806984774,2.156570553779602E-5,3.0,0.37717206776851314,8.903024279150112E7,0.0
4,2,4,0.8,0.5,20,100,576,0.935672514619883,0.5267198853001003,2.159876748919487E-5,4.333333333333333,0.8227016777360519,1.1556214961102127E8,0.07567567567567568
4,3,6,0.6,0.7,10,350,1024,0.5963455149501662,0.8434738372779356,1.5051662921905516E-5,4.6,1.9087728970892597,3.1294881000455403E8,0.0
4,2,6,0.5,0.6,20,200,1024,0.736842105263158,0.5615305340638179,2.216082066297531E-5,2.0,0.7123388235100676,9.241535009674302E7,0.04522613065326633
4,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
4,3,4,0.6,0.7,10,250,768,0.6756756756756757,0.36854880773912396,7.018446922302246E-6,3.0,2.0350086182638933,3.2827775510828024E8,0.0
4,2,6,0.6,0.6,10,200,640,0.7359550561797753,1.8958979631983246,1.7213821411132813E-5,4.8,0.5063563644430041,1.7846124498614958E8,0.0
5,2,6,0.5,0.6,10,250,576,0.7768595041322314,0.2940832323413637,1.8155202269554138E-5,2.0,1.7001989403449356,6.345288710618652E7,0.0
5,3,6,0.6,0.6,15,150,896,0.8636363636363636,0.4284750161801522,2.742517325613234E-5,3.8333333333333335,1.3419685589281625,1.252377381389438E8,0.0
5,3,4,0.6,0.4,10,200,768,0.7816901408450705,1.3574428495536883,2.155467867851257E-5,3.8,0.5598762410144039,1.3539519857975402E8,0.0
5,2,6,0.6,0.4,10,400,640,0.7314578005115089,1.198839003004755,2.2020811835924785E-5,2.0,0.6673122896359645,5.812683063354667E7,0.0
5,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
5,4,5,0.8,0.6,10,450,768,0.5773480662983426,1.699244769412706,2.132604519526164E-5,3.8,1.0063294180926101,1.3684675115705135E8,0.0
5,3,4,0.6,0.7,10,250,768,0.6756756756756757,0.36854880773912396,7.018446922302246E-6,3.0,2.0350086182638933,3.2827775510828024E8,0.0
5,2,6,0.6,0.6,10,200,640,0.7359550561797753,1.8958979631983246,1.7213821411132813E-5,4.8,0.5063563644430041,1.7846124498614958E8,0.0
5,3,6,0.6,0.6,10,200,768,0.7276119402985075,0.4686605000920824,2.1460155646006267E-5,3.0,1.2802444410871239,1.0736175627080198E8,0.007407407407407408
5,2,4,0.8,0.5,20,100,576,0.935672514619883,0.5267198853001003,2.159876748919487E-5,4.333333333333333,0.8227016777360519,1.1556214961102127E8,0.07567567567567568
6,2,6,0.6,0.6,10,200,640,0.7359550561797753,1.8958979631983246,1.7213821411132813E-5,4.8,0.5063563644430041,1.7846124498614958E8,0.0
6,1,6,0.6,0.5,10,150,768,0.7111111111111111,0.25497616834192155,3.038644790649414E-5,1.6666666666666667,0.9804837904095863,4.212404174185955E7,0.9254966887417219
6,3,6,0.6,0.6,15,150,896,0.8636363636363636,0.4284750161801522,2.742517325613234E-5,3.8333333333333335,1.3419685589281625,1.252377381389438E8,0.0
6,2,6,0.5,0.6,10,250,576,0.7768595041322314,0.2940832323413637,1.8155202269554138E-5,2.0,1.7001989403449356,6.345288710618652E7,0.0
6,3,6,0.6,0.6,15,150,768,0.8291457286432161,0.31659638198951284,1.9893671075503033E-5,2.8,1.3266102327534253,1.0809467955102523E8,0.03398058252427184
6,3,6,0.6,0.6,10,200,256,0.6736596736596736,1.3689994670747323,2.13297704855601E-5,5.6,0.8181157311866656,6.721122484513012E7,0.0
6,3,4,0.6,0.7,10,200,384,0.8059701492537313,0.9117834448467101,2.1414831280708313E-5,4.4,0.9651414543372703,7.88985903205358E7,0.0
6,2,6,0.6,0.4,10,400,640,0.7314578005115089,1.198839003004755,2.2020811835924785E-5,2.0,0.6673122896359645,5.812683063354667E7,0.0
6,3,6,0.6,0.6,10,200,768,0.7276119402985075,0.4686605000920824,2.1460155646006267E-5,3.0,1.2802444410871239,1.0736175627080198E8,0.007407407407407408
6,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
7,3,4,0.6,0.6,10,150,256,0.8490566037735849,0.4721397415930834,2.4756292502085363E-5,4.0,1.2708102011821614,4.136322108464919E7,0.0
7,4,6,0.6,0.6,10,200,640,1.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.0
7,3,6,0.6,0.6,20,150,512,0.8217821782178218,0.41810570733228575,1.9761112829049427E-5,2.8,1.0045306548906034,7.254652166615662E7,0.08181818181818182
7,1,2,0.6,0.5,20,100,768,0.4782608695652174,0.1331458866939831,2.20373272895813E-5,1.8333333333333333,1.376935764862935,6.389159545067279E7,0.9890214797136038
7,2,6,0.6,0.6,10,200,640,0.7359550561797753,1.8958979631983246,1.7213821411132813E-5,4.8,0.5063563644430041,1.7846124498614958E8,0.0
7,1,4,0.8,0.5,10,450,576,0.6835443037974683,0.7472140766916064,2.1986663341522217E-5,3.0,1.8067111449202238,7.859309860521857E7,0.7357859531772575
7,3,6,0.6,0.6,15,150,768,0.8291457286432161,0.31659638198951284,1.9893671075503033E-5,2.8,1.3266102327534253,1.0809467955102523E8,0.03398058252427184
7,3,6,0.6,0.5,10,500,768,0.5238095238095238,0.5209674871671629,2.5085359811782838E-5,3.6,3.4551100487820534,1.102156804105854E8,0.0
7,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
7,1,6,0.6,0.5,10,150,768,0.7111111111111111,0.25497616834192155,3.038644790649414E-5,1.6666666666666667,0.9804837904095863,4.212404174185955E7,0.9254966887417219
8,4,6,0.5,0.4,15,400,1024,0.5676077265973254,2.0669894536507085,1.777149736881256E-5,4.2,0.8127762805140543,2.4200549400792372E8,0.0
8,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
8,3,6,0.6,0.4,15,150,384,0.8214285714285714,0.5170828314400011,2.1047890186309814E-5,2.3333333333333335,0.6768741461117562,4.2569587358584076E7,0.0
8,3,6,0.6,0.6,15,150,768,0.8291457286432161,0.31659638198951284,1.9893671075503033E-5,2.8,1.3266102327534253,1.0809467955102523E8,0.03398058252427184
8,4,6,0.6,0.6,10,150,640,0.8023255813953488,0.932470937418757,2.160019108227321E-5,5.6,0.9008323651622508,1.6592445809154475E8,0.008645533141210375
8,4,6,0.6,0.6,10,250,640,0.7320675105485233,0.836658686151468,1.596162716547648E-5,5.2,1.5537996814206851,2.085000461104715E8,0.0
8,1,6,0.6,0.5,10,150,768,0.7111111111111111,0.25497616834192155,3.038644790649414E-5,1.6666666666666667,0.9804837904095863,4.212404174185955E7,0.9254966887417219
8,3,6,0.6,0.5,10,500,768,0.5238095238095238,0.5209674871671629,2.5085359811782838E-5,3.6,3.4551100487820534,1.102156804105854E8,0.0
8,3,4,0.6,0.4,10,150,384,0.813953488372093,0.7583492478534211,2.1461086968580883E-5,4.8,0.949430624528247,8.588567777104916E7,0.0
8,1,2,0.6,0.5,20,100,768,0.4782608695652174,0.1331458866939831,2.20373272895813E-5,1.8333333333333333,1.376935764862935,6.389159545067279E7,0.9890214797136038
9,4,6,0.6,0.6,10,250,640,0.7320675105485233,0.836658686151468,1.596162716547648E-5,5.2,1.5537996814206851,2.085000461104715E8,0.0
9,1,4,0.5,0.5,10,200,1024,0.8084112149532711,0.6002997643622197,2.429494634270668E-5,2.3333333333333335,0.777389388387434,9.834692777786723E7,0.06956521739130435
9,3,6,0.6,0.5,10,500,768,0.5238095238095238,0.5209674871671629,2.5085359811782838E-5,3.6,3.4551100487820534,1.102156804105854E8,0.0
9,3,6,0.6,0.4,15,150,384,0.8214285714285714,0.5170828314400011,2.1047890186309814E-5,2.3333333333333335,0.6768741461117562,4.2569587358584076E7,0.0
9,3,6,0.6,0.5,10,500,512,0.5930599369085173,2.1985956648468843,1.799936095873515E-5,4.4,1.000638741891276,1.2515999902244914E8,0.0
9,3,6,0.6,0.4,10,200,768,0.797752808988764,0.3849922133245997,1.836220423380534E-5,3.0,1.5584730787635959,1.2547513199740316E8,0.007434944237918215
9,3,4,0.6,0.5,10,150,384,0.7740740740740741,2.117838857896247,1.0896474123001099E-5,4.8,0.33996920838217654,1.691556350424615E8,0.0
9,3,6,0.6,0.6,15,150,768,0.8291457286432161,0.31659638198951284,1.9893671075503033E-5,2.8,1.3266102327534253,1.0809467955102523E8,0.03398058252427184
9,3,6,0.6,0.4,10,500,896,0.5922953451043338,0.44272557323097506,1.5102740791108874E-5,2.8,3.162229797982787,1.6611554384068844E8,0.0
9,4,5,0.6,0.5,20,200,512,0.6551724137931034,0.4628790955075346,2.1529694398244224E-5,4.2,1.814728744833383,9.98806560011074E7,0.0028653295128939827
